,AcX,AcY,AcZ,GyX,GyY,GyZ,Oc2,OcV,Occ,OcV2,time,id,Magnitude,Timestamp,Movement
225,-322,-223,-2435,-10,-850,-189,1,0,1,18,2023-05-05 01:09:03,S13,1.204248276,2023-05-05 01:09:03,1
220,59,-148,-2931,2346,-7287,222,1,0,1,74,2023-05-05 01:09:05,S18,1.433265253,2023-05-05 01:09:05,1
192,-161,-320,-2571,-291,-380,-130,1,0,1,54,2023-05-05 00:46:12,S46,1.267497808,2023-05-05 00:46:12,1
180,-84,-334,-2632,-416,1221,-5,1,0,1,0,2023-05-05 00:05:15,S58,1.296111836,2023-05-05 00:05:15,1
95,-1863,-1992,-1249,-2017,2261,402,1,0,1,19,2023-05-04 23:35:36,S143,1.464748858,2023-05-04 23:35:36,1
4,-156,-248,-2452,-344,-388,-81,1,0,1,1,2023-05-04 22:35:59,S234,1.205782247,2023-05-04 22:35:59,1
147,-218,-249,-2423,-530,1321,-414,1,0,1,101,2023-05-04 22:33:23,S91,1.194090175,2023-05-04 22:33:23,1
143,-137,-230,-2417,-1416,-225,-251,1,0,1,17,2023-05-04 22:33:24,S95,1.187392983,2023-05-04 22:33:24,1
142,-139,-221,-2458,73,-250,-69,1,0,1,35,2023-05-04 22:33:24,S96,1.206946509,2023-05-04 22:33:24,1
233,-140,-408,-2351,-447,-498,10,0,0,1,137,2023-05-04 22:32:01,S5,1.167111187,2023-05-04 22:32:01,1
223,-104,-262,-2455,-675,455,-125,1,0,1,68,2023-05-04 22:32:04,S15,1.206606596,2023-05-04 22:32:04,1
220,-189,-645,-2247,1293,-678,-84,1,0,1,17,2023-05-04 22:32:05,S18,1.145199629,2023-05-04 22:32:05,1
219,-201,-623,-2370,-420,-123,-192,1,0,1,10,2023-05-04 22:32:05,S19,1.200559382,2023-05-04 22:32:05,1
218,-166,-644,-2361,192,-261,-256,1,0,1,17,2023-05-04 22:32:05,S20,1.197694586,2023-05-04 22:32:05,1
214,-168,-677,-2366,-252,-374,-127,0,0,1,113,2023-05-04 22:32:06,S24,1.204433473,2023-05-04 22:32:06,1
213,-139,-684,-2368,-489,-345,-183,1,0,1,96,2023-05-04 22:32:06,S25,1.205431919,2023-05-04 22:32:06,1
211,-150,-2508,-3336,1276,-5685,-5350,1,0,1,7,2023-05-04 22:32:07,S27,2.039207716,2023-05-04 22:32:07,1
210,1274,-804,-2323,-6241,-3745,833,1,0,1,10,2023-05-04 22:32:07,S28,1.351914994,2023-05-04 22:32:07,1
208,31,-529,-2581,1956,5427,-865,1,0,1,57,2023-05-04 22:32:08,S30,1.286541224,2023-05-04 22:32:08,1
207,153,-652,-2532,501,-1956,-983,0,0,1,113,2023-05-04 22:32:08,S31,1.278843644,2023-05-04 22:32:08,1
206,50,-697,-2295,-195,-985,77,0,0,1,117,2023-05-04 22:32:08,S32,1.171400254,2023-05-04 22:32:08,1
202,105,-720,-2353,-1080,-340,-344,1,0,1,14,2023-05-04 22:32:09,S36,1.202603512,2023-05-04 22:32:09,1
201,59,-509,-2352,-3063,-5207,-182,1,0,1,0,2023-05-04 22:32:09,S37,1.175375834,2023-05-04 22:32:09,1
200,-1390,-849,-414,-6689,-1582,-3281,1,0,1,19,2023-05-04 22:32:10,S38,0.820588129,2023-05-04 22:32:10,1
179,-75,-278,-2255,66,-597,-89,1,0,1,109,2023-05-04 22:32:15,S59,1.110014181,2023-05-04 22:32:15,1
75,-79,-313,-2440,-833,-900,-177,0,0,1,115,2023-05-04 22:32:41,S163,1.201788023,2023-05-04 22:32:41,1
51,-122,-232,-2452,-334,-376,-118,1,0,1,33,2023-05-04 22:32:47,S187,1.204087306,2023-05-04 22:32:47,1
